{'txHash': 'a420f6664ad371f33b2eec578cd6fce450fb79ab91dff5341201b2b5d041c7fa', 'function': 'set_round', 'fee': '667320000000000', 'gasUsed': 60000000, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 9241, 'timestamp': 1718204330, 'sender': 'erd1dwlm0pazs43q0sad8h3r7ueehlzjmhyyq9spryaxruhvfgwych8qgydtwz', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '42c66db09f60a9e2d458bbfa357384c43b6597a39cb9391bb22d210f66e6e725', 'function': 'set_stage', 'fee': '667320000000000', 'gasUsed': 60000000, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 1794, 'timestamp': 1718218226, 'sender': 'erd1rxufcd8sn9t2k5cavngu60qeeytkuxymajdarnyq5f8enh850wpq8at8xu', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': 'a72c881e9d65303ae67cbad99cbb7346642d3d051043270dfe5b7e2745299518', 'function': 'set_stage', 'fee': '667320000000000', 'gasUsed': 60000000, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 1795, 'timestamp': 1718218268, 'sender': 'erd1rxufcd8sn9t2k5cavngu60qeeytkuxymajdarnyq5f8enh850wpq8at8xu', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': 'e17b204adafc6eba98f7e6428c89c5c2be477e35bd0104dd19e1f01a31c3297d', 'function': 'upload_footprint_model_file', 'fee': '322184450000000', 'gasUsed': 8557445, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 597, 'timestamp': 1718218448, 'sender': 'erd100swfm9cts2p3zsmsdrpkf4v06vwfhm7ru808s2mzkdgaatq9drqhhequu', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': 'f3b814340bc6a33a1bc5b1389b0f85c6e76a6729255d4dc39c53b1df03d72c2d', 'function': 'upload_candidate_model_file', 'fee': '322722230000000', 'gasUsed': 8611223, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 598, 'timestamp': 1718218448, 'sender': 'erd100swfm9cts2p3zsmsdrpkf4v06vwfhm7ru808s2mzkdgaatq9drqhhequu', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': 'a6986c2cef76e0e9fab780ccd380729ad76f266d5b7a234cb4b15006890fda42', 'function': 'upload_footprint_model_file', 'fee': '322453340000000', 'gasUsed': 8584334, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 595, 'timestamp': 1718218472, 'sender': 'erd107kyce4264dsg3tfgqx33pwp5ypawvrrw6q6f6e0lthcnsgqdvts7dk0nz', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': 'def8bf90cabdcc11fb7d977b91cc917380f929817c192452dbadb6f9b4202195', 'function': 'upload_candidate_model_file', 'fee': '322355490000000', 'gasUsed': 8574549, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 596, 'timestamp': 1718218472, 'sender': 'erd107kyce4264dsg3tfgqx33pwp5ypawvrrw6q6f6e0lthcnsgqdvts7dk0nz', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '19c85029d052a376987f3367bb0a87e2d9f336dd7b698e4033c451fc216d6442', 'function': 'upload_footprint_model_file', 'fee': '322453340000000', 'gasUsed': 8584334, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 597, 'timestamp': 1718218472, 'sender': 'erd16qmq6lums7pwtcqtgep86netzm0r9jtgrspgphx5w7uh5f86n92se7pz5c', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '6637ddae05c053107c96c01c941a8368d0fd5192efb379f4a9f69cb1e5eeda24', 'function': 'upload_footprint_model_file', 'fee': '322453340000000', 'gasUsed': 8584334, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 597, 'timestamp': 1718218472, 'sender': 'erd18x0ktspqhtvjyfkjecdkmngjxq5dc4zssrgk3c2nl963kqtjprvslcdksz', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': 'b9e323418c371db0439d62c27ce9f0fc515ddb9b2ee74229fd2dd77bc4da9756', 'function': 'upload_footprint_model_file', 'fee': '321394400000000', 'gasUsed': 8478440, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 597, 'timestamp': 1718218472, 'sender': 'erd1sy3f5pll8urwv56l9yd6xeg83a2q9cdgnwx8ldxnt3nkawgn6jkq992wxn', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
{'txHash': '819dca19ebed5cad630216147ec0f53bbd871b6e64af6ea91483d7773be95df6', 'function': 'upload_footprint_model_file', 'fee': '322453340000000', 'gasUsed': 8584334, 'gasLimit': 60000000, 'gasPrice': 1000000000, 'nonce': 597, 'timestamp': 1718218472, 'sender': 'erd1tflykelvzt257qgmrtwjferetetnst00t54sra35jzl30dxyqwyq33vdhz', 'receiver': 'erd1qqqqqqqqqqqqqpgqqwptcz58e2dd5np9gg7ak6lakhnjzv3zch8q3nduxs'}
